question,answer
What is Sitare University?,"Sitare University is a unique initiative that provides high-quality Computer Science education completely free of cost to bright students from underprivileged backgrounds. Founded in 2022 by Dr. Amit Singhal, who was previously Senior Vice President at Google, the university offers an industry-focused curriculum with individual attention to all students. The university also takes full responsibility for student placements. Additionally, students have the opportunity to secure internship placements starting from their 1st year, giving them valuable real-world experience early in their academic journey."
Where is Sitare University located?,"Sitare University is currently operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow, and its permanent campus is being built on the Bhopal-Indore highway, which is expected to be ready in 2026."
What is the vision of Sitare University?,Sitare University's vision is to provide high-quality Computer Science education completely free of cost to bright students from underprivileged backgrounds and help them secure high-paying jobs. The university also aims to produce world-class computer scientists who can make a significant impact in the industry and beyond.
What are the values of Sitare University?,"Sitare University’s values are deeply embedded in its mission and goals. The key values include:

Accessibility: The university offers high-quality Computer Science education completely free of cost to bright students from underprivileged backgrounds, making education accessible to all.
Equality: By providing free education, Sitare University promotes equality and inclusivity, ensuring every student, regardless of their financial background, has an equal opportunity to succeed.
Quality: Focused on delivering top-tier education, the university provides individual attention to students and emphasizes an industry-oriented curriculum that prepares them for the real world.
Industry Orientation: With internships starting from the 1st year and an industry-aligned curriculum, the university ensures students are well-prepared for the tech industry's demands.
Responsibility: Sitare University takes full responsibility for student placements, helping graduates secure high-paying, impactful jobs in the technology sector."
What programs does Sitare University offer?,"As of 2025, Sitare University has only one department, which is Computer Science.As of 2025, Sitare University currently offers only one department, which is Computer Science. The university is dedicated to providing high-quality education in this field to bright students from underprivileged backgrounds, equipping them with the skills needed for success in the tech industry."
How old is Sitare University?,"Sitare University was started in 2022 by Dr. Amit Singhal, who is the founder of the university."
What is the university's ranking?,"As a new university, Sitare University does not yet have an official ranking. However, we are committed to providing high-quality education and ensuring that our students excel in the tech industry, which will reflect in the future recognition of our institution."
What is the official website of Sitare University?,The official website of Sitare University is https://sitare.org/univ/.
What is the university's motto?,"Sitare University's motto is centered around providing ""Education for Excellence and Equality."" The university is dedicated to offering high-quality, industry-oriented Computer Science education to bright students from underprivileged backgrounds, ensuring that every student has the opportunity to succeed and make an impact in the technology sector."
Is Sitare University accredited?,"As a new university, Sitare University is in the process of developing its permanent campus, and we currently do not have approval from the University Grants Commission (UGC). However, we are working towards meeting all necessary requirements and fulfilling the accreditation process to ensure that our degrees are recognized and respected in the future."
How can I apply to Sitare University?,"To apply to Sitare University, you need to write the IIT JEE Mains. The university generally prefers students who have scored at least 90 percentile in JEE Mains. To be considered for a scholarship, your annual family income should be below INR 3 lakhs. You can submit your application as soon as your JEE Mains results are out. The opening and closing dates for submitting applications for each academic year will be mentioned on the official website. It is recommended not to wait until the last date to apply. For more information, you can visit the university's official website: https://sitare.org/univ/"
What is the application deadline?,The application deadline for 2025 will be mentioned on the official website. Please refer to the website for the exact dates: https://sitare.org/univ/
What are the admission requirements?,"
To get admission at Sitare University, you need to write the IIT JEE Mains. While there is no strict cutoff for marks, the university generally prefers students who have scored at least 90 percentile in JEE Mains. In addition, you will need to submit your application through the university's official portal. Students who meet the criteria and demonstrate academic potential are eligible for consideration, with priority given to those from underprivileged backgrounds. For detailed information, please visit the official website."
Does Sitare University offer scholarships?,"Yes, Sitare University offers full scholarships to deserving students whose annual family income is below INR 3 lakhs. These scholarships cover both academic fees and hostel expenses, ensuring that financial constraints do not hinder bright students from receiving high-quality education."
What is the application fee?,There is no application fee for applying to Sitare University.
Is there an entrance exam for admission?,"To get admission at Sitare University, you need to write IIT JEE mains. There isn't a university-specific entrance exam."
What is the minimum GPA requirement?,"The minimum GPA requirement for Sitare University is 6.0, although it may vary based on specific circumstances or academic performance."
How can I track my application status?,"You can track your application status by following these steps:
Visit the Official Website: Log in to the application portal on Sitare University's official website.
Check Email Notifications: Look for updates sent to your registered email regarding your application progress.
Contact Support: If you cannot find updates online, reach out to the admissions office via email or phone for assistance.
Follow Deadlines: Ensure you've met all requirements and submitted necessary documents to avoid delays in tracking your application.
"
Are there any special admission programs?,"Currently, Sitare University does not offer any special admission programs. However, we are committed to ensuring fair and transparent admission processes for all applicants."
What undergraduate programs are offered?,"
Sitare University offers a BTech degree in Computer Science, a four-year program. The first three years are dedicated to academic learning, covering various computer science topics, while the final year provides real-world, hands-on experience through industry internships or projects. This structure ensures that students gain both strong theoretical knowledge and practical skills, preparing them for success in the tech industry."
What postgraduate programs are available?,"
Currently, Sitare University does not offer any postgraduate programs. However, the university is focused on providing high-quality undergraduate education, and future program offerings may be considered as the institution continues to grow."
Does Sitare University offer online courses?,"Currently, Sitare University does not offer any online courses; all programs and classes are conducted offline."
What short-term courses are available?,"Currently, Sitare University does not offer any short-term courses. All available programs are part of the full-time curriculum conducted offline. "
What professional certifications can I earn here?,"At Sitare University, while the focus is primarily on providing quality academic education, students may have opportunities to earn professional certifications through industry-oriented programs and internships. 
You may be able to pursue certifications in areas related to computer science, such as:
Programming Languages (e.g., Java, Python, C++).
Data Science and Machine Learning.
Software Development (e.g., Web Development, App Development).
Database Management (e.g., SQL, NoSQL).
Cloud Computing.
Cybersecurity.
For more information on professional certifications, it would be best to contact the university directly or consult the academic programs available."
Does the university offer dual degree programs?,"
Currently, Sitare University does not offer dual degree programs. However, the university is committed to providing a comprehensive and industry-oriented education, and future program offerings may be explored as the institution expands."
Can I switch programs after enrollment?,"Since Sitare University offers only one program, B Tech in Computer Science, switching programs would not be possible. However, you can focus on gaining expertise and exploring various specializations within the Computer Science field, such as:
Software Engineering
Data Science
Artificial Intelligence
Machine Learning
These specializations can be explored through elective courses, internships, and industry projects during your B Tech program
"
Are there summer courses?,"Currently, Sitare University does not offer any specific summer courses. However, students may have the opportunity to participate in summer internships or industry-oriented projects as part of their academic development. These opportunities allow students to gain practical experience in the field of Computer Science.
For more details, it's best to check with the university's administration or academic office for any upcoming initiatives or programs during the summer."
What is the credit system like?,"Sitare University follows a credit-based system, where each course is assigned a specific number of credits based on its workload and duration. Core subjects, mathematics, communication, and other related courses are each allocated credit values. To earn their degree, students must complete a required number of credits, with each semester contributing a set number of credits toward the total credits required for graduation.
This credit system provides a structured approach to academic progression, ensuring that students maintain an acceptable academic performance (GPA) to stay on track for graduation."
Are there any language courses?,"The university primarily focuses on computer software education, and although it has an English medium, it does accommodate Hindi medium background students by allowing teachers to instruct in both languages. However, the curriculum mainly emphasizes computer science and English communication skills. There is a specific course in English Communication in the first year."
What is the tuition fee for undergraduate programs?,"Sitare University offers 100 percent scholarship for its students, meaning there is no tuition fee for the B Tech in Computer Science program."
How much is the fee for postgraduate courses?,There are no postgraduate courses offered at Sitare University; it only offers an undergraduate program.
Are there any additional charges apart from tuition?,"At Sitare University, there are no additional fees beyond the core offerings. The university provides absolutely free education, which means there is no tuition fee for the B Tech in Computer Science program. Additionally, students are not required to pay extra charges for other services typically found in universities, such as examination fees, lab fees, or library fees. The university's mission is to make education accessible to all students, especially those from underprivileged backgrounds, so it ensures that students can focus on their studies without worrying about hidden costs. Therefore, the cost of education, including resources and academic support, is fully covered by the university."
Does the university provide a fee installment option?,"At Sitare University, we provide 100% scholarships covering both tuition and hostel expenses. As a result, there is no need for any installment payments, ensuring that students can focus entirely on their education without financial concerns."
Is there any late fee penalty?,"There is no late fee penalty at Sitare University, as the university provides 100% scholarships covering both tuition and hostel expenses. Students are not required to make any payments, allowing them to focus entirely on their education without financial stress. For more information, you can contact the university directly."
What is the refund policy?,"Sitare University does not charge an application fee, and the refund of the security deposit is typically processed under specific conditions. The refund of the security deposit generally follows these guidelines:
Security Deposit Refund: The security deposit is refunded to the student at the end of the program or if the student withdraws, subject to any outstanding dues or damages.
Conditions for Refund: The refund is usually processed once all university property is returned (such as hostel keys or library books) and any dues (such as hostel or examination fees) are cleared.
Processing Time: The time taken to process the refund may vary depending on the university’s policies and the time of withdrawal.
For the most accurate and up-to-date information, students should refer to the university's official policies or contact the administration regarding the security deposit refund process."
Can I get a breakdown of the fee structure?,"At Sitare University, there is no application fee, and 100% scholarships are provided to eligible students. These scholarships cover all academic and hostel expenses, ensuring that education is completely free for bright students from underprivileged backgrounds. As there are no fees involved, there is no need for a breakdown of the fee structure."
Are there any discounts for merit students?,"Yes, Sitare University provides 100% scholarships to deserving students whose annual family income is below INR 3 lakhs. These scholarships cover all academic and hostel expenses, ensuring that financial constraints do not hinder bright students from pursuing their education. For any specific concerns or queries, please feel free to email the admissions authority for further assistance."
Are hostel charges included in the tuition fee?,"
Yes, the scholarship provided by Sitare University covers all academic, hostel, and food expenses. This means that hostel charges are fully included as part of the 100% scholarship, ensuring students can focus on their education without any financial burden."
What are the exam fees?,There are no exam fees at Sitare University. All examination-related costs are covered by the university as part of the free education it provides.
What scholarships are available?,"Sitare University provides scholarships to deserving students, and the criteria for eligibility include: 1. Scoring at least 90 percentile in JEE mains (though not a strict cutoff, it is generally preferred). 2. Having an annual family income below INR 3 lakhs. To maintain the scholarship, students must maintain a minimum CGPA of 6.5 after each academic year."
How can I apply for a scholarship?,"To apply for a scholarship, you need to submit your application through the university's portal. Additionally, your annual family income should be below INR 3 lakhs."
What is the eligibility for scholarships?,"To be eligible for scholarships at Sitare University, you need to meet the following conditions: 1. Your annual family income should be below INR 3 lakhs. 2. You must have appeared for JEE mains and scored at least 90 percentile (though this is generally preferred for admission, it's not explicitly mentioned as a requirement for scholarships). Additionally, to maintain your scholarship, you will need to maintain a minimum CGPA of 6.5 after every academic year."
Does Sitare University offer need-based financial aid?,"Sitare University does not seem to offer need-based financial aid in the traditional sense. Instead, it offers full scholarships to deserving students from underprivileged backgrounds with annual family incomes below INR 3 lakhs, which covers the cost of education, food, and accommodation."
Are there any government-funded scholarships?,"Sitare University is entirely funded by its founder, Dr. Amit Singhal, and provides 100% scholarships to deserving students whose annual family income is below INR 3 lakhs. These scholarships are not government-funded but are supported by Dr. Amit Singhal and the Sitare Foundation, ensuring that bright students from underprivileged backgrounds receive a high-quality education at no cost."
Can I apply for multiple scholarships?,"In addition to Sitare University's own scholarships, students can apply for multiple external scholarships, such as those offered by FFE (Foundation for Excellence) and Reliance. However, as part of the university's policy, students receiving external scholarships are required to donate a part of the scholarship amount to the Sitare Foundation. This donation helps support the university’s mission of providing education to students from underprivileged backgrounds.
"
Are there loans available through the university?,"Sitare University does not offer any loans to students. However, students can explore external funding options, such as educational loans from banks or financial institutions, to support their studies if needed. "
How are scholarships renewed?,"To maintain or renew your scholarship at Sitare University, you need to maintain a CGPA of 6.5 after every academic year."
What are the facilities available on campus?,"The facilities available on campus include sports equipment/kits for various sports like cricket, football, basketball, etc., as well as rooms for accommodation with 2 and 3 sharing options. Additionally, there are facilities to support student clubs for music, startups, debate, AI, Coding and other activities."
Does the university have hostels?,"Yes, Sitare University provides hostel facilities. However, it is currently operational from a temporary campus in Lucknow, but it plans to move to its own campus on the Indore-Bhopal highway, expected to be ready by 2025, where it will have its own hostel facilities."
Are there separate hostels for boys and girls?,"Yes, there are separate hostels for boys and girls at Sitare University. Currently, students are residing in the hostels of Shri RamSwaroop Memorial University (SRMU), but the university plans to eventually move to its own dedicated hostel facilities on the new campus. Once the new campus is operational, there will be separate hostels for boys and girls to ensure privacy and comfort for all students.
"
What is the fee for hostel accommodation?,"There are no fees for hostel accommodation at Sitare University for bright, underprivileged students. The university provides free accommodation as part of its commitment to offering accessible education to students from economically disadvantaged backgrounds."
Does the university have a library?,"The university has a very good library, well-equipped with both academic and non-academic books."
Is Wi-Fi available on campus?,"Wi-Fi is available in both classrooms and the respective hostels at Sitare University, ensuring students have easy access to the internet for academic and personal use.
"
What sports facilities are offered?,"The sports facilities offered include those for cricket, football, and basketball, among others."
Is there a health center on campus?,"Yes, there are doctors available both on campus and in nearby hospitals."
Are there cafeterias or food courts?,"Yes, here cafeterias and food courts are available. ""our mess"" which provides hygienic food of very good quality."
What are the transportation options for students?,"Students residing at Sitare University are accommodated in on-campus hostels, ensuring that classrooms and other facilities are within walking distance. As a result, there is no need for additional transportation services, making it convenient and hassle-free for students."
What is the exam schedule?,"There will be three Internal Assessments (IA's) and one end-term examination at Sitare University. The schedule for the Internal Assessments will be decided by each faculty, while the date for the final examination will also be clearly communicated in advance."
